0 139
-2361.568604 -533.885986 -349.787262
-2361.566162 -533.885986 -350.292664
-2361.564453 -533.885986 -350.799805
-2361.559814 -533.885986 -351.308502
-2361.558350 -533.885986 -351.809631
-2361.556885 -533.885986 -352.314240
-2361.556885 -533.885986 -352.820221
-2361.559082 -533.885986 -352.873505
-2361.558105 -533.885986 -353.321747
-2361.562256 -533.885986 -353.830811
-2361.558350 -533.885986 -354.330780
-2361.555176 -533.885986 -354.833679
-2361.555420 -533.885986 -355.343719
-2361.554688 -533.885986 -355.765198
-2361.554443 -533.885986 -355.845825
-2361.555664 -533.885986 -356.346954
-2361.557861 -533.885986 -356.850220
-2361.553711 -533.885986 -357.357361
-2361.561279 -533.885986 -357.858673
-2361.549561 -533.885986 -358.361938
-2361.561279 -533.885986 -358.867523
-2361.556885 -533.885986 -359.371368
-2361.567871 -533.885986 -359.775024
-2361.565674 -533.885986 -359.878906
-2361.553467 -533.885986 -360.381592
-2361.555664 -533.885986 -360.884857
-2361.553711 -533.885986 -361.391022
-2361.554688 -533.885986 -361.582886
-2361.559570 -533.885986 -361.892944
-2361.559570 -533.885986 -362.392700
-2361.558105 -533.885986 -362.893463
-2361.555908 -533.885986 -363.402130
-2361.555908 -533.885986 -363.908112
-2361.554199 -533.885986 -364.292389
-2361.553223 -533.885986 -364.418365
-2361.551270 -533.885986 -364.920258
-2361.549805 -533.885986 -365.425842
-2361.539307 -533.885986 -365.929504
-2361.532715 -533.885986 -366.437988
-2361.527832 -533.885986 -366.940094
-2361.524414 -533.885986 -367.446655
-2361.522705 -533.885986 -367.951874
-2361.524170 -533.885986 -368.457245
-2361.524658 -533.885986 -368.963623
-2361.520996 -533.885986 -369.466095
-2361.522705 -533.885986 -369.969757
-2361.524658 -533.885986 -370.472443
-2361.524170 -533.885986 -370.830170
-2361.521484 -533.885986 -370.977448
-2361.518311 -533.885986 -371.485352
-2361.528320 -533.885986 -371.986511
-2361.529297 -533.885986 -372.009369
-2361.524902 -533.885986 -372.492859
-2361.509521 -533.885986 -372.995544
-2361.516113 -533.885986 -373.498993
-2361.512695 -533.885986 -373.904602
-2361.513916 -533.885986 -373.956726
-2361.645264 -533.885986 -373.696869
-2361.645508 -533.885986 -373.289337
-2361.639648 -533.885986 -373.082153
2 168
-2361.584961 -532.385986 -373.365875
-2361.580078 -532.385986 -373.357147
-2361.590820 -532.385986 -372.875000
-2361.583496 -532.385986 -372.372528
-2361.567627 -532.385986 -372.042694
-2361.568115 -532.385986 -371.871002
-2361.590576 -532.385986 -371.371796
-2361.591797 -532.385986 -370.872040
-2361.592285 -532.385986 -370.657318
-2361.603027 -532.385986 -370.372253
-2361.599609 -532.385986 -369.872681
-2361.593018 -532.385986 -369.364166
-2361.596436 -532.385986 -368.854706
-2361.599365 -532.385986 -368.344666
-2361.606689 -532.385986 -367.834808
-2361.610596 -532.385986 -367.328827
-2361.611328 -532.385986 -366.818604
-2361.616211 -532.385986 -366.309509
-2361.618896 -532.385986 -366.212036
-2361.619873 -532.385986 -365.807037
-2361.613525 -532.385986 -365.302979
-2361.615234 -532.385986 -364.797607
-2361.622070 -532.385986 -364.573578
-2361.630371 -532.385986 -364.292786
-2361.634766 -532.385986 -363.786987
-2361.641113 -532.385986 -363.279480
-2361.641113 -532.385986 -362.775635
-2361.644775 -532.385986 -362.266174
-2361.643066 -532.385986 -362.140381
-2361.646240 -532.385986 -361.762512
-2361.648438 -532.385986 -361.260986
-2361.643311 -532.385986 -360.760834
-2361.644043 -532.385986 -360.257385
-2361.648926 -532.385986 -359.745575
-2361.651367 -532.385986 -359.234955
-2361.650879 -532.385986 -358.731293
-2361.649902 -532.385986 -358.647400
-2361.649414 -532.385986 -358.229980
-2361.649414 -532.385986 -357.722839
-2361.659424 -532.385986 -357.222870
-2361.656006 -532.385986 -356.707581
-2361.657227 -532.385986 -356.201813
-2361.658936 -532.385986 -356.140564
-2361.651367 -532.385986 -355.698151
-2361.653320 -532.385986 -355.191803
-2361.660400 -532.385986 -354.681152
-2361.660400 -532.385986 -354.430023
-2361.663086 -532.385986 -354.180603
-2361.664551 -532.385986 -353.674255
-2361.672852 -532.385986 -353.163605
-2361.672607 -532.385986 -352.658234
-2361.663574 -532.385986 -352.154388
-2361.668701 -532.385986 -351.642578
-2361.666992 -532.385986 -351.137787
-2361.666016 -532.385986 -351.094940
-2361.664551 -532.385986 -350.637421
-2361.668701 -532.385986 -350.132416
-2361.671143 -532.385986 -349.623901
-2361.677246 -532.385986 -349.118134
-2361.674072 -532.385986 -348.617767
-2361.677490 -532.385986 -348.117218
-2361.685791 -532.385986 -347.617645
-2361.693604 -532.385986 -347.110291
-2361.692627 -532.385986 -346.606445
-2361.688232 -532.385986 -346.096222
-2361.684326 -532.385986 -345.588318
-2361.682129 -532.385986 -345.295105
-2361.680176 -532.385986 -345.085052
-2361.678711 -532.385986 -344.584503
-2361.678467 -532.385986 -344.077362
-2361.680664 -532.385986 -343.577576
-2361.680664 -532.385986 -343.073730
-2361.684814 -532.385986 -342.786743
-2361.686768 -532.385986 -342.563690
-2361.686035 -532.385986 -342.047821
-2361.689209 -532.385986 -341.545349
-2361.688232 -532.385986 -341.043427
-2361.686035 -532.385986 -340.536102
-2361.682861 -532.385986 -340.030701
-2361.678711 -532.385986 -339.525482
-2361.678711 -532.385986 -339.512512
-2361.679932 -532.385986 -339.019714
-2361.679932 -532.385986 -338.508698
-2361.689697 -532.385986 -338.007568
-2361.685547 -532.385986 -337.506439
-2361.684814 -532.385986 -337.004517
-2361.689453 -532.385986 -336.498352
-2361.699951 -532.385986 -335.990814
-2361.698242 -532.385986 -335.485809
